Date,Tournament,Surface,Rd,Rk,vRk,Player,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
7‑Apr‑2017,Davis Cup WG QF: AUS vs USA,Hard,RR,16,25,Kyrgios d. Sam Querrey [USA],7-6(4) 6-3 6-4,1.22,18.90%,2.70%,64.90%,80.60%,41.00%,7月9日,2:05
20‑Mar‑2017,Miami Masters,Hard,SF,16,6,(4)Roger Federer [SUI] d. (12)Kyrgios,7-6(9) 6-7(9) 7-6(5),0.77,9.50%,2.70%,64.20%,74.70%,52.80%,6月7日,3:10
20‑Mar‑2017,Miami Masters,Hard,QF,16,20,(12)Kyrgios d. (16)Alexander Zverev [GER],6-4 6-7(9) 6-3,1.33,16.50%,0.00%,64.90%,79.40%,67.60%,0/0,2:33
20‑Mar‑2017,Miami Masters,Hard,R16,16,12,(12)Kyrgios d. (8)David Goffin [BEL],7-6(5) 6-3,0.95,15.20%,6.30%,65.80%,76.90%,51.90%,2月2日,1:37
20‑Mar‑2017,Miami Masters,Hard,R32,16,21,(12)Kyrgios d. (17)Ivo Karlovic [CRO],6-4 6-7(4) 7-6(2),1.86,14.70%,2.10%,64.20%,91.80%,67.60%,1月1日,2:26
20‑Mar‑2017,Miami Masters,Hard,R64,16,66,(12)Kyrgios d. Damir Dzumhur [BIH],6-4 6-3,1.79,19.60%,9.80%,62.70%,81.30%,57.90%,1月3日,1:03
6‑Mar‑2017,Indian Wells Masters,Hard,R16,16,2,(15)Kyrgios d. (2)Novak Djokovic [SRB],6-4 7-6(3),1.28,20.30%,5.80%,60.90%,85.70%,51.90%,0/0,1:51
6‑Mar‑2017,Indian Wells Masters,Hard,R32,16,20,(15)Kyrgios d. (18)Alexander Zverev [GER],6-3 6-4,1.44,12.00%,4.00%,64.00%,84.40%,55.60%,0/0,1:13
6‑Mar‑2017,Indian Wells Masters,Hard,R64,16,73,(15)Kyrgios d. Horacio Zeballos [ARG],6-3 6-4,2.08,18.90%,0.00%,64.20%,85.30%,73.70%,3月3日,1:11
27‑Feb‑2017,Acapulco,Hard,SF,17,40,Sam Querrey [USA] d. (6)Kyrgios,3-6 6-1 7-5,0.94,14.90%,0.00%,64.90%,68.80%,53.80%,0/4,1:34
27‑Feb‑2017,Acapulco,Hard,QF,17,2,(6)Kyrgios d. (1)Novak Djokovic [SRB],7-6(9) 7-5,1.25,34.20%,1.40%,72.60%,81.10%,75.00%,1月1日,1:47
27‑Feb‑2017,Acapulco,Hard,R16,17,63,(6)Kyrgios d. (SE)Donald Young [USA],6-2 6-4,1.44,12.30%,12.30%,64.90%,78.40%,55.00%,2月2日,1:11
27‑Feb‑2017,Acapulco,Hard,R32,17,75,(6)Kyrgios d. Dudi Sela [ISR],3-6 6-3 6-3,1.13,10.50%,6.60%,67.10%,80.40%,48.00%,1月2日,1:33
20‑Feb‑2017,Marseille,Hard,SF,16,11,(2)Jo Wilfried Tsonga [FRA] d. (3)Kyrgios,7-6(5) 2-6 6-4,0.98,16.20%,3.00%,64.60%,81.30%,42.90%,6月8日,2:12
20‑Feb‑2017,Marseille,Hard,QF,16,128,(3)Kyrgios d. (Q)Norbert Gombos [SVK],6-3 6-3,3.22,35.70%,2.40%,73.80%,93.50%,63.60%,0/0,0:58
20‑Feb‑2017,Marseille,Hard,R16,16,47,(3)Kyrgios d. Malek Jaziri [TUN],6-4 6-2,2.44,27.30%,2.30%,70.50%,93.50%,53.80%,0/0,0:58
3‑Feb‑2017,Davis Cup WG R1: CZE vs AUS,Hard,RR,15,157,Kyrgios d. Jan Satral [CZE],6-2 6-3 6-2,1.59,25.90%,4.90%,63.00%,76.50%,63.30%,3月3日,1:35
16‑Jan‑2017,Australian Open,Hard,R64,13,89,Andreas Seppi [ITA] d. (14)Kyrgios,1-6 6-7(1) 6-4 6-2 10-8,0.88,16.40%,4.70%,69.00%,74.60%,50.90%,7月12日,3:08
16‑Jan‑2017,Australian Open,Hard,R128,13,77,(14)Kyrgios d. Gastao Elias [POR],6-1 6-2 6-2,2.5,12.50%,4.70%,57.80%,81.10%,77.80%,0/0,1:24
10‑Oct‑2016,Shanghai Masters,Hard,R32,14,110,(Q)Mischa Zverev [GER] d. (12)Kyrgios,6-3 6-1,0.49,3.70%,5.60%,64.80%,51.40%,31.60%,0/5,0:48
10‑Oct‑2016,Shanghai Masters,Hard,R64,14,29,(12)Kyrgios d. Sam Querrey [USA],6-4 6-4,1.28,25.50%,7.30%,61.80%,85.30%,57.10%,0/0,0:53
3‑Oct‑2016,Tokyo,Hard,F,15,14,(6)Kyrgios d. (5)David Goffin [BEL],4-6 6-3 7-5,1.23,25.30%,9.10%,67.70%,79.10%,50.00%,11月12日,2:00
3‑Oct‑2016,Tokyo,Hard,SF,15,8,(6)Kyrgios d. (2)Gael Monfils [FRA],6-4 6-4,1.18,4.10%,2.70%,56.20%,75.60%,53.10%,3月4日,1:30
3‑Oct‑2016,Tokyo,Hard,QF,15,36,(6)Kyrgios d. Gilles Muller [LUX],6-4 6-2,1.84,34.00%,3.80%,66.00%,88.60%,50.00%,3月3日,1:10
3‑Oct‑2016,Tokyo,Hard,R32,15,107,(6)Kyrgios d. (Q)Ryan Harrison [USA],7-5 6-2,1.79,26.90%,1.90%,73.10%,78.90%,71.40%,0/0,1:16
26‑Sep‑2016,Chengdu,Hard,R16,15,45,Kevin Anderson [RSA] d. (2)Kyrgios,3-6 7-6(6) 6-2,0.75,20.00%,4.80%,76.20%,75.00%,40.00%,9月11日,1:33
16‑Sep‑2016,Davis Cup WG PO: AUS vs SVK,Grass,RR,15,127,Kyrgios d. Andrej Martin [SVK],6-3 6-2 6-4,1.6,7.90%,2.60%,72.40%,70.90%,66.70%,2月4日,1:39
29‑Aug‑2016,US Open,Hard,R32,16,63,Illya Marchenko [UKR] d. (14)Kyrgios,4-6 6-4 6-1 RET,0.76,19.10%,4.30%,59.60%,60.70%,47.40%,5月10日,1:55
29‑Aug‑2016,US Open,Hard,R64,16,71,(14)Kyrgios d. Horacio Zeballos [ARG],7-5 6-4 6-4,2.19,34.60%,1.30%,61.50%,93.80%,63.30%,0/0,1:56
29‑Aug‑2016,US Open,Hard,R128,16,77,(14)Kyrgios d. Aljaz Bedene [SLO],6-4 6-4 6-4,1.53,17.10%,4.90%,61.00%,86.00%,53.10%,2月3日,1:57
15‑Aug‑2016,Cincinnati Masters,Hard,R32,16,49,Borna Coric [CRO] d. (14)Kyrgios,7-6(2) 4-6 7-6(6),0.9,21.40%,4.50%,67.00%,78.70%,40.50%,1月2日,2:32
15‑Aug‑2016,Cincinnati Masters,Hard,R64,16,26,(14)Kyrgios d. Lucas Pouille [FRA],6-2 7-5,1.39,25.80%,1.60%,64.50%,75.00%,63.60%,3月3日,1:07
1‑Aug‑2016,Atlanta,Hard,F,18,17,(2)Kyrgios d. (1)John Isner [USA],7-6(3) 7-6(4),1.32,22.80%,6.30%,62.00%,81.60%,66.70%,4月4日,1:46
1‑Aug‑2016,Atlanta,Hard,SF,18,97,(2)Kyrgios d. Yoshihito Nishioka [JPN],6-3 3-6 6-3,1.28,21.30%,4.00%,62.70%,85.10%,57.10%,3月4日,1:35
1‑Aug‑2016,Atlanta,Hard,QF,18,48,(2)Kyrgios d. (5)Fernando Verdasco [ESP],6-4 6-7(5) 6-3,1.32,20.00%,5.60%,63.30%,82.50%,66.70%,1月1日,1:54
1‑Aug‑2016,Atlanta,Hard,R16,18,123,(2)Kyrgios d. (WC)Jared Donaldson [USA],7-6(4) 6-3,1.56,15.00%,6.70%,58.30%,85.70%,64.00%,2月3日,1:16
25‑Jul‑2016,Canada Masters,Hard,R64,19,370,(WC)Denis Shapovalov [CAN] d. (11)Kyrgios,7-6(2) 3-6 6-3,0.86,12.50%,17.30%,59.60%,77.40%,40.50%,8月10日,1:39
27‑Jun‑2016,Wimbledon,Grass,R16,18,2,(2)Andy Murray [GBR] d. (15)Kyrgios,7-5 6-1 6-4,0.49,12.60%,1.10%,82.80%,68.10%,20.00%,9月13日,1:42
27‑Jun‑2016,Wimbledon,Grass,R32,18,21,(15)Kyrgios d. (22)Feliciano Lopez [ESP],6-3 6-7(2) 6-3 6-4,1.13,19.90%,2.20%,72.10%,70.40%,57.90%,4月6日,2:41
27‑Jun‑2016,Wimbledon,Grass,R64,18,85,(15)Kyrgios d. Dustin Brown [GER],6-7(3) 6-1 2-6 6-4 6-4,1.27,20.10%,4.50%,70.90%,77.90%,64.10%,3月5日,2:05
27‑Jun‑2016,Wimbledon,Grass,R128,18,121,(15)Kyrgios d. Radek Stepanek [CZE],6-4 6-3 6-7(9) 6-1,1.19,21.20%,1.70%,74.60%,71.60%,60.00%,1月3日,2:25
13‑Jun‑2016,Queen's Club,Grass,R32,19,9,(3)Milos Raonic [CAN] d. Kyrgios,6-7(5) 6-4 6-4,0.59,13.30%,3.10%,66.40%,70.60%,48.80%,9月11日,2:04
23‑May‑2016,Roland Garros,Clay,R32,19,12,(9)Richard Gasquet [FRA] d. (17)Kyrgios,6-2 7-6(7) 6-2,0.81,8.10%,0.00%,71.70%,64.80%,50.00%,7月12日,2:10
23‑May‑2016,Roland Garros,Clay,R64,19,123,(17)Kyrgios d. Igor Sijsling [NED],6-3 6-2 6-1,2.04,16.40%,0.00%,67.20%,80.00%,68.20%,1月1日,1:10
23‑May‑2016,Roland Garros,Clay,R128,19,124,(17)Kyrgios d. Marco Cecchinato [ITA],7-6(6) 7-6(6) 6-4,1.74,16.00%,2.00%,64.00%,81.30%,75.00%,1月1日,2:22
9‑May‑2016,Rome Masters,Clay,R16,20,5,(5)Rafael Nadal [ESP] d. Kyrgios,6-7(3) 6-2 6-4,0.78,7.60%,0.00%,67.80%,65.00%,44.70%,11月15日,2:39
9‑May‑2016,Rome Masters,Clay,R32,20,10,Kyrgios d. (10)Milos Raonic [CAN],7-6(5) 6-3,1.19,8.30%,1.40%,61.10%,77.30%,53.60%,4月6日,1:27
9‑May‑2016,Rome Masters,Clay,R64,20,251,Kyrgios d. (WC)Salvatore Caruso [ITA],6-1 6-2,1.7,16.70%,3.30%,70.00%,66.70%,61.10%,2月3日,1:00
2‑May‑2016,Madrid Masters,Clay,QF,21,6,(6)Kei Nishikori [JPN] d. Kyrgios,6-7(6) 7-6(1) 6-3,1,16.70%,1.90%,69.40%,77.30%,57.60%,7月8日,2:38
2‑May‑2016,Madrid Masters,Clay,R16,21,27,Kyrgios d. Pablo Cuevas [URU],7-6(5) 4-6 6-3,0.92,12.70%,0.00%,70.90%,71.80%,53.10%,5月7日,2:04
2‑May‑2016,Madrid Masters,Clay,R32,21,4,Kyrgios d. (4)Stanislas Wawrinka [SUI],7-6(7) 7-6(2),1.05,8.20%,3.50%,70.60%,85.00%,56.00%,4月4日,1:45
2‑May‑2016,Madrid Masters,Clay,R64,21,50,Kyrgios d. Guido Pella [ARG],7-6(7) 6-4,0.95,22.50%,1.40%,77.50%,76.40%,56.30%,0/0,1:26
25‑Apr‑2016,Estoril,Clay,SF,20,71,Nicolas Almagro [ESP] d. (2)Kyrgios,6-3 7-5,0.6,9.70%,6.50%,66.10%,63.40%,38.10%,3月7日,1:13
25‑Apr‑2016,Estoril,Clay,QF,20,40,(2)Kyrgios d. (6)Borna Coric [CRO],6-4 6-4,1.89,19.60%,3.90%,66.70%,85.30%,76.50%,0/0,1:09
25‑Apr‑2016,Estoril,Clay,R16,20,58,(2)Kyrgios d. Inigo Cervantes Huegun [ESP],7-6(4) 7-5,1.62,13.80%,1.50%,75.40%,85.70%,62.50%,0/1,1:12
21‑Mar‑2016,Miami Masters,Hard,SF,26,6,(6)Kei Nishikori [JPN] d. (24)Kyrgios,6-3 7-5,0.63,12.50%,6.30%,65.60%,69.00%,40.90%,5月9日,1:24
21‑Mar‑2016,Miami Masters,Hard,QF,26,12,(24)Kyrgios d. (12)Milos Raonic [CAN],6-4 7-6(4),1.09,9.90%,7.40%,56.80%,78.30%,62.90%,5月5日,1:44
21‑Mar‑2016,Miami Masters,Hard,R16,26,51,(24)Kyrgios d. Andrey Kuznetsov [RUS],7-6(3) 6-3,1.15,15.70%,5.70%,57.10%,75.00%,63.30%,1月2日,1:23
21‑Mar‑2016,Miami Masters,Hard,R32,26,132,(24)Kyrgios d. (Q)Tim Smyczek [USA],6-4 6-4,1.27,15.00%,0.00%,55.00%,69.70%,55.60%,0/2,1:27
21‑Mar‑2016,Miami Masters,Hard,R64,26,40,(24)Kyrgios d. Marcos Baghdatis [CYP],6-2 6-1,1.64,26.40%,3.80%,66.00%,74.30%,50.00%,4月5日,0:57
7‑Mar‑2016,Indian Wells Masters,Hard,R64,27,49,Albert Ramos [ESP] d. (24)Kyrgios,7-6(4) 7-5,0.84,8.30%,3.60%,63.10%,67.90%,61.30%,4月5日,1:51
22‑Feb‑2016,Dubai,Hard,SF,33,4,(2)Stanislas Wawrinka [SUI] d. Kyrgios,6-4 3-0 RET,0.64,13.20%,13.20%,65.80%,44.00%,23.10%,3月8日,0:44
22‑Feb‑2016,Dubai,Hard,QF,33,7,Kyrgios d. (3)Tomas Berdych [CZE],6-4 6-4,1.31,15.90%,6.30%,61.90%,76.90%,62.50%,4月4日,1:26
22‑Feb‑2016,Dubai,Hard,R16,33,84,Kyrgios d. Mikhail Kukushkin [KAZ],6-3 6-2,1.81,22.40%,0.00%,57.10%,82.10%,66.70%,0/0,1:03
22‑Feb‑2016,Dubai,Hard,R32,33,25,Kyrgios d. (7)Martin Klizan [SVK],3-6 6-3 6-2,1.11,10.00%,7.50%,58.80%,72.30%,39.40%,6月10日,1:31
15‑Feb‑2016,Marseille,Hard,F,41,12,Kyrgios d. (4)Marin Cilic [CRO],6-2 7-6(3),2.25,29.80%,1.80%,64.90%,94.60%,60.00%,1月1日,1:25
15‑Feb‑2016,Marseille,Hard,SF,41,8,Kyrgios d. (2)Tomas Berdych [CZE],6-4 6-2,2.87,34.90%,0.00%,72.10%,93.50%,58.30%,0/0,1:09
15‑Feb‑2016,Marseille,Hard,QF,41,10,Kyrgios d. (3)Richard Gasquet [FRA],6-0 6-4,3.11,44.70%,0.00%,71.10%,96.30%,54.50%,0/0,0:59
15‑Feb‑2016,Marseille,Hard,R16,41,44,Kyrgios d. Teymuraz Gabashvili [RUS],6-4 6-4,1.1,25.00%,4.40%,73.50%,72.00%,61.10%,1月1日,1:11
15‑Feb‑2016,Marseille,Hard,R32,41,42,Kyrgios d. Vasek Pospisil [CAN],6-4 6-4,1.33,10.30%,5.20%,67.20%,79.50%,57.90%,2月2日,1:10
18‑Jan‑2016,Australian Open,Hard,R32,30,6,(6)Tomas Berdych [CZE] d. (29)Kyrgios,6-3 6-4 1-6 6-4,0.89,16.70%,1.90%,60.20%,81.50%,37.20%,5月8日,2:27
18‑Jan‑2016,Australian Open,Hard,R64,30,41,(29)Kyrgios d. Pablo Cuevas [URU],6-4 7-5 7-6,1.28,19.80%,1.00%,64.60%,79.00%,64.70%,5月7日,1:58
18‑Jan‑2016,Australian Open,Hard,R128,30,68,(29)Kyrgios d. Pablo Carreno Busta [ESP],6-2 7-5 6-2,2.14,22.90%,0.00%,71.40%,74.00%,85.00%,0/1,1:31
24‑May‑2015,Roland Garros,Clay,R32,30,3,(3)Andy Murray [GBR] d. (29)Kyrgios,6-4 6-2 6-3,0.74,2.00%,6.90%,76.50%,52.60%,41.70%,6月13日,1:59
24‑May‑2015,Roland Garros,Clay,R128,30,77,(29)Kyrgios d. Denis Istomin [UZB],6-3 6-4 6-3,1.38,7.90%,2.20%,69.70%,79.00%,40.70%,9月11日,1:38
17‑May‑2015,Nice,Clay,R16,30,42,Dominic Thiem [AUT] d. (6)Kyrgios,4-3 RET,0.85,12.10%,3.00%,45.50%,60.00%,44.40%,0/2,0:28
17‑May‑2015,Nice,Clay,R32,30,57,(6)Kyrgios d. Mikhail Kukushkin [KAZ],7-6(5) 6-2,1.24,9.40%,4.70%,64.10%,80.50%,52.20%,3月4日,1:19
10‑May‑2015,Rome Masters,Clay,R64,30,13,(11)Feliciano Lopez [ESP] d. Kyrgios,6-4 7-6(4),0.84,11.30%,7.50%,56.30%,71.10%,54.30%,3月5日,1:22
3‑May‑2015,Madrid Masters,Clay,R16,35,18,(16)John Isner [USA] d. Kyrgios,6-3 6-7(7) 6-4,0.53,10.20%,2.00%,65.30%,79.70%,47.10%,2月4日,1:45
3‑May‑2015,Madrid Masters,Clay,R32,35,2,Kyrgios d. (1)Roger Federer [SUI],6-7(2) 7-6(5) 7-6(12),0.95,17.10%,1.60%,65.90%,78.80%,43.20%,2月4日,2:37
3‑May‑2015,Madrid Masters,Clay,R64,35,66,Kyrgios d. (Q)Daniel Gimeno Traver [ESP],6-2 6-3,1.78,19.60%,2.00%,74.50%,86.80%,38.50%,2月2日,1:01
27‑Apr‑2015,Estoril,Clay,F,46,28,(5)Richard Gasquet [FRA] d. (7)Kyrgios,6-3 6-2,0.51,4.00%,6.00%,70.00%,62.90%,53.30%,3月6日,1:05
27‑Apr‑2015,Estoril,Clay,SF,46,64,(7)Kyrgios d. Pablo Carreno Busta [ESP],5-7 7-6(2) 6-3,1.18,15.60%,4.20%,68.80%,86.40%,43.30%,1月2日,2:00
27‑Apr‑2015,Estoril,Clay,QF,46,101,(7)Kyrgios d. Robin Haase [NED],6-3 6-4,1.32,12.50%,5.40%,66.10%,78.40%,52.60%,1月2日,0:57
27‑Apr‑2015,Estoril,Clay,R16,46,104,(7)Kyrgios d. Filip Krajinovic [SRB],6-3 6-3,1.22,9.50%,6.30%,66.70%,61.90%,66.70%,5月6日,1:10
