Date,Tournament,Surface,Rd,Rk,vRk,Player,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
18‑May‑2014,Dusseldorf Q,Clay,Q1,161,469,(5)Kyrgios d. Olivier Rochus [BEL],6-3 6-2,1.83,14.00%,0.00%,55.80%,79.20%,68.40%,0/0,1:01
12‑May‑2014,Heilbronn II CH,Clay,R32,159,165,Andrej Martin [SVK] d. Kyrgios,6-1 6-4,0.7,5.20%,1.70%,58.60%,44.10%,50.00%,5月10日,1:02
21‑Apr‑2014,Savannah CH,Clay,F,171,88,Kyrgios d. (2)Jack Sock [USA],2-6 7-6(4) 6-4,0.98,11.80%,4.70%,56.50%,72.90%,59.50%,4月8日,1:57
21‑Apr‑2014,Savannah CH,Clay,SF,171,155,Kyrgios d. Facundo Bagnis [ARG],6-3 6-4,1.46,7.70%,5.80%,67.30%,80.00%,52.90%,0/1,1:07
21‑Apr‑2014,Savannah CH,Clay,QF,171,145,Kyrgios d. (5)Alex Kuznetsov [USA],6-3 6-2,1.94,11.60%,7.00%,51.20%,86.40%,66.70%,0/0,0:56
21‑Apr‑2014,Savannah CH,Clay,R16,171,382,Kyrgios d. (Q)Yoshihito Nishioka [JPN],6-3 6-2,1.44,7.50%,3.80%,64.20%,79.40%,36.80%,4月5日,1:11
21‑Apr‑2014,Savannah CH,Clay,R32,171,392,Kyrgios d. (Q)Thanasi Kokkinakis [AUS],6-1 6-3,1.73,10.60%,8.50%,59.60%,85.70%,52.60%,2月2日,1:02
14‑Apr‑2014,Sarasota CH,Clay,F,221,204,Kyrgios d. Filip Krajinovic [SRB],7-6(10) 6-4,1.52,9.40%,3.10%,60.90%,79.50%,60.00%,0/1,1:32
14‑Apr‑2014,Sarasota CH,Clay,SF,221,358,Kyrgios d. (WC)Daniel Kosakowski [USA],4-6 6-3 6-4,1.12,7.90%,4.50%,61.80%,80.00%,50.00%,4月6日,1:50
14‑Apr‑2014,Sarasota CH,Clay,QF,221,81,Kyrgios d. (2)Donald Young [USA],6-4 6-4,1.38,8.60%,5.20%,62.10%,80.60%,63.60%,2月2日,1:12
