Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2019,35,22,13,62.90%,53-36,59.60%,485-456,51.50%,11月16日,59.30%,35,88.70%,14.40%,20.20%,3.90%,66.10%,79.60%,50.30%,69.70%,30.40%,50.20%,1,W (2x)
2018,41,26,15,63.40%,67-47,58.80%,620-575,51.90%,20-16,55.60%,40,89.70%,13.20%,22.50%,5.20%,65.10%,79.00%,54.00%,70.30%,30.60%,50.60%,1.03,W (Brisbane)
2017,49,31,18,63.30%,77-42,64.70%,640-537,54.40%,8月17日,68.00%,48,89.00%,18.60%,18.10%,4.80%,63.90%,79.30%,54.50%,70.40%,35.00%,52.40%,1.18,F (2x)
2016,55,40,15,72.70%,95-41,69.90%,757-617,55.10%,11月18日,62.10%,54,88.60%,20.10%,17.40%,3.70%,66.50%,75.90%,55.20%,69.00%,35.70%,52.20%,1.15,W (3x)
2015,44,25,19,56.80%,64-53,54.70%,630-588,51.70%,18-17,51.40%,42,86.90%,16.90%,13.80%,3.90%,64.10%,75.50%,52.70%,67.30%,33.10%,50.60%,1.01,F (Estoril)
2014,19,10,9,52.60%,33-30,52.40%,338-342,49.70%,10月13日,56.50%,15,84.20%,13.90%,15.50%,4.00%,65.30%,75.10%,49.80%,66.30%,32.20%,49.40%,0.96,QF (Wimbledon)
2013,4,2,2,50.00%,3月6日,33.30%,39-55,41.50%,3-0,100.00%,3,75.60%,4.30%,6.70%,4.40%,61.90%,72.30%,45.00%,61.90%,24.50%,44.50%,0.64,
Career,256,162,94,63.30%,408-265,60.60%,3658-3303,52.50%,112-78,58.90%,246,88.20%,16.30%,17.90%,4.20%,65.40%,77.40%,53.00%,69.00%,32.80%,51.00%,1.06,
